"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ESRCUUS","198411","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198412","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198413","7.15","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198501","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198502","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198503","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198504","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198505","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198506","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198507","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198508","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198509","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198510","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198511","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198512","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198513","7.39","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198601","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198602","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198603","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198604","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198605","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198606","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
