MSN,YYYYMM,Value,Column_Order,Description,Unit,Y,M
SOR7BUS,201304,2.722,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,4
SOR7BUS,201305,3.005,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,5
SOR7BUS,201306,3.032,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,6
SOR7BUS,201307,3.183,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,7
SOR7BUS,201308,3.15,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,8
SOR7BUS,201309,2.873,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,9
SOR7BUS,201310,2.618,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,10
SOR7BUS,201311,2.148,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,11
SOR7BUS,201312,2.039,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,12
SOR7BUS,201401,2.499,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,1
SOR7BUS,201402,2.634,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,2
SOR7BUS,201403,3.636,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,3
SOR7BUS,201404,4,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,4
SOR7BUS,201405,4.453,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,5
SOR7BUS,201406,4.547,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,6
SOR7BUS,201407,4.778,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,7
SOR7BUS,201408,4.783,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,8
SOR7BUS,201409,4.488,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,9
SOR7BUS,201410,4.236,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,10
SOR7BUS,201411,3.545,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,11
SOR7BUS,201412,3.452,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2014,12
SOR7BUS,201501,3.166,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,1
SOR7BUS,201502,3.492,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,2
SOR7BUS,201503,4.99,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,3
SOR7BUS,201504,5.68,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,4
SOR7BUS,201505,6.301,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,5
SOR7BUS,201506,6.46,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,6
SOR7BUS,201507,6.903,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,7
SOR7BUS,201508,6.948,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,8
SOR7BUS,201509,6.332,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,9
SOR7BUS,201510,5.758,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,10
SOR7BUS,201511,4.798,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,11
SOR7BUS,201512,4.393,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2015,12
SOR7BUS,201601,4.8,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,1
SOR7BUS,201602,5.741,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,2
SOR7BUS,201603,7.705,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,3
