year,newprice,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,peek5,peek6,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1992,2.25758772706331,6.063,5.473,5.776,4.988,5.724,4.092,5.185,3.884,3.2569999999999997,3.511,4.837,3.7489999999999997,5.332000000000001,3.95,5.886,4.815,5.939,5.2829999999999995,6.235,5.792999999999999,6.17
1992,2.2607208888953467,6.0,4.988,6.063,4.092,5.776,3.884,5.724,3.2569999999999997,3.511,4.837,5.332000000000001,3.168,5.886,3.7489999999999997,5.939,3.95,6.235,4.815,6.17,5.2829999999999995,5.627000000000001
1992,2.244955980157409,5.473,4.092,6.0,3.884,6.063,3.2569999999999997,5.776,3.511,4.837,5.332000000000001,5.886,3.415,5.939,3.168,6.235,3.7489999999999997,6.17,3.95,5.627000000000001,4.815,5.129
1992,2.2126603854660587,4.988,3.884,5.473,3.2569999999999997,6.0,3.511,6.063,4.837,5.332000000000001,5.886,5.939,4.705,6.235,3.415,6.17,3.168,5.627000000000001,3.7489999999999997,5.129,3.95,4.207
1992,2.1815467646169897,4.092,3.2569999999999997,4.988,3.511,5.473,4.837,6.0,5.332000000000001,5.886,5.939,6.235,5.185,6.17,4.705,5.627000000000001,3.415,5.129,3.168,4.207,3.7489999999999997,3.9930000000000003
1993,2.166765369851511,3.884,3.511,4.092,4.837,4.988,5.332000000000001,5.473,5.886,5.939,6.235,6.17,5.724,5.627000000000001,5.185,5.129,4.705,4.207,3.415,3.9930000000000003,3.168,3.346
1993,2.1736147116970854,3.2569999999999997,4.837,3.884,5.332000000000001,4.092,5.886,4.988,5.939,6.235,6.17,5.627000000000001,5.776,5.129,5.724,4.207,5.185,3.9930000000000003,4.705,3.346,3.415,3.6069999999999998
1993,2.174751721484161,3.511,5.332000000000001,3.2569999999999997,5.886,3.884,5.939,4.092,6.235,6.17,5.627000000000001,5.129,6.063,4.207,5.776,3.9930000000000003,5.724,3.346,5.185,3.6069999999999998,4.705,4.97
1993,2.211565694606877,4.837,5.886,3.511,5.939,3.2569999999999997,6.235,3.884,6.17,5.627000000000001,5.129,4.207,6.0,3.9930000000000003,6.063,3.346,5.776,3.6069999999999998,5.724,4.97,5.185,5.478
1993,2.25758772706331,5.332000000000001,5.939,4.837,6.235,3.511,6.17,3.2569999999999997,5.627000000000001,5.129,4.207,3.9930000000000003,5.473,3.346,6.0,3.6069999999999998,6.063,4.97,5.776,5.478,5.724,6.047000000000001
1993,2.2762411176544437,5.886,6.235,5.332000000000001,6.17,4.837,5.627000000000001,3.511,5.129,4.207,3.9930000000000003,3.346,4.988,3.6069999999999998,5.473,4.97,6.0,5.478,6.063,6.047000000000001,5.776,6.102
1993,2.2752138961979136,5.939,6.17,5.886,5.627000000000001,5.332000000000001,5.129,4.837,4.207,3.9930000000000003,3.346,3.6069999999999998,4.092,4.97,4.988,5.478,5.473,6.047000000000001,6.0,6.102,6.063,6.405
1993,2.2752138961979136,6.235,5.627000000000001,5.939,5.129,5.886,4.207,5.332000000000001,3.9930000000000003,3.346,3.6069999999999998,4.97,3.884,5.478,4.092,6.047000000000001,4.988,6.102,5.473,6.405,6.0,6.3389999999999995
1993,2.281361456542419,6.17,5.129,6.235,4.207,5.939,3.9930000000000003,5.886,3.346,3.6069999999999998,4.97,5.478,3.2569999999999997,6.047000000000001,3.884,6.102,4.092,6.405,4.988,6.3389999999999995,5.473,5.781000000000001
1993,2.278292400425001,5.627000000000001,4.207,6.17,3.9930000000000003,6.235,3.346,5.939,3.6069999999999998,4.97,5.478,6.047000000000001,3.511,6.102,3.2569999999999997,6.405,3.884,6.3389999999999995,4.092,5.781000000000001,4.988,5.269
1993,2.2202898502672155,5.129,3.9930000000000003,5.627000000000001,3.346,6.17,3.6069999999999998,6.235,4.97,5.478,6.047000000000001,6.102,4.837,6.405,3.511,6.3389999999999995,3.2569999999999997,5.781000000000001,3.884,5.269,4.092,4.322
1993,2.186051276738094,4.207,3.346,5.129,3.6069999999999998,5.627000000000001,4.97,6.17,5.478,6.047000000000001,6.102,6.405,5.332000000000001,6.3389999999999995,4.837,5.781000000000001,3.511,5.269,3.2569999999999997,4.322,3.884,4.103
1994,2.167910189667444,3.9930000000000003,3.6069999999999998,4.207,4.97,5.129,5.478,5.627000000000001,6.047000000000001,6.102,6.405,6.3389999999999995,5.886,5.781000000000001,5.332000000000001,5.269,4.837,4.322,3.511,4.103,3.2569999999999997,3.398
1994,2.180417459019838,3.346,4.97,3.9930000000000003,5.478,4.207,6.047000000000001,5.129,6.102,6.405,6.3389999999999995,5.781000000000001,5.939,5.269,5.886,4.322,5.332000000000001,4.103,4.837,3.398,3.511,3.6630000000000003
1994,2.206074192613202,3.6069999999999998,5.478,3.346,6.047000000000001,3.9930000000000003,6.102,4.207,6.405,6.3389999999999995,5.781000000000001,5.269,6.235,4.322,5.939,4.103,5.886,3.398,5.332000000000001,3.6630000000000003,4.837,5.047
1994,2.2300144001592104,4.97,6.047000000000001,3.6069999999999998,6.102,3.346,6.405,3.9930000000000003,6.3389999999999995,5.781000000000001,5.269,4.322,6.17,4.103,6.235,3.398,5.939,3.6630000000000003,5.886,5.047,5.332000000000001,5.562
1994,2.254444717666111,5.478,6.102,4.97,6.405,3.6069999999999998,6.3389999999999995,3.346,5.781000000000001,5.269,4.322,4.103,5.627000000000001,3.398,6.17,3.6630000000000003,6.235,5.047,5.939,5.562,5.886,6.141
1994,2.2793164660546914,6.047000000000001,6.405,5.478,6.3389999999999995,4.97,5.781000000000001,3.6069999999999998,5.269,4.322,4.103,3.398,5.129,3.6630000000000003,5.627000000000001,5.047,6.17,5.562,6.235,6.141,5.939,6.196000000000001
