AR,AR
0.191346423,0.075254141
0.213919922,0.096618346
0.339283463,0.216338511
0.311872785,0.190137128
0.081703712,-0.029551392
-0.129922844,-0.231100492
-0.521331198,-0.604369427
-0.611625195,-0.690632442
-0.942971917,-1.046568154
-0.836553991,-0.948212193
-0.281084669,-0.435068182
-0.073892194,-0.243999635
0.157889272,-0.029551392
0.180059673,-0.008993383
0.304213919,0.105486506
0.276803242,0.080494418
0.049858954,-0.129519746
-0.158945914,-0.322200686
-0.545113992,-0.678942594
-0.634601792,-0.761577726
-0.95788655,-1.101792608
-0.852677919,-1.007870727
-0.30325507,-0.517300216
-0.098481184,-0.334293632
0.130881693,-0.129519746
0.153052094,-0.109767934
0.275593947,-0.000528321
0.248586368,-0.024311115
0.024060669,-0.225054019
-0.182728708,-0.409672996
-0.564462705,-0.750290976
-0.652741211,-0.829298224
-0.988522013,-1.142908625
-0.885731972,-1.052211529
-0.349208265,-0.578168044
-0.148868459,-0.401611032
0.075254141,-0.203689815
0.096618346,-0.184744199
0.216338511,-0.07913247
0.190137128,-0.102109068
-0.029551392,-0.295999303
-0.231100492,-0.474168708
-0.604369427,-0.803499939
-0.690632442,-0.879685499
-1.046568154,-1.175156481
-0.948212193,-1.086877975
-0.435068182,-0.62613673
-0.243999635,-0.454416896
-0.029551392,-0.262139054
-0.008993383,-0.243596537
0.105486506,-0.140806495
0.080494418,-0.163379994
-0.129519746,-0.351626855
-0.322200686,-0.524959081
-0.678942594,-0.845019054
-0.761577726,-0.919592221
-1.101792608,-1.190071114
-1.007870727,-1.103001903
-0.517300216,-0.648307131
-0.334293632,-0.479005886
-0.129519746,-0.288743535
-0.109767934,-0.270604116
-0.000528321,-0.169426468
-0.024311115,-0.191596869
-0.225054019,-0.37742514
-0.409672996,-0.548338777
-0.750290976,-0.864367767
-0.829298224,-0.93773164
-1.142908625,-1.211032221
-1.052211529,-1.125575402
-0.578168044,-0.679748791
-0.401611032,-0.513269234
-0.203689815,-0.327037864
-0.184744199,-0.309301544
-0.07913247,-0.209736288
-0.102109068,-0.231503591
-0.295999303,-0.414107076
-0.474168708,-0.581795928
-0.803499939,-0.891778445
-0.879685499,-0.963529925
-1.175156481,-1.160241847
-1.086877975,-1.070754047
-0.62613673,-0.603966329
-0.454416896,-0.429827906
-0.262139054,-0.234728376
-0.243596537,-0.216185859
-0.140806495,-0.112186523
