Solar,AR,LR,MLP
-0.274721207,-0.349208265,-0.349208265,-0.349208265
-0.012476683,-0.148868459,-0.148868459,-0.148868459
0.281257834,0.075254141,0.075254141,0.075254141
0.30965045,0.096618346,0.096618346,0.096618346
0.466584181,0.216338511,0.216338511,0.216338511
0.431996812,0.190137128,0.190137128,0.190137128
0.144457048,-0.029551392,-0.029551392,-0.029551392
-0.120368623,-0.231100492,-0.231100492,-0.231100492
-0.609237845,-0.604369427,-0.604369427,-0.604369427
-0.722292079,-0.690632442,-0.690632442,-0.690632442
-1.152311151,-1.046568154,-1.046568154,-1.046568154
-1.02067266,-0.948212193,-0.948212193,-0.948212193
-0.333571357,-0.435068182,-0.435068182,-0.435068182
-0.077005355,-0.243999635,-0.243999635,-0.243999635
0.210018179,-0.029551392,-0.029551392,-0.029551392
0.237378336,-0.008993383,-0.008993383,-0.008993383
0.390698462,0.105486506,0.105486506,0.105486506
0.357143552,0.080494418,0.080494418,0.080494418
0.075798541,-0.129519746,-0.129519746,-0.129519746
-0.182316149,-0.322200686,-0.322200686,-0.322200686
-0.660344553,-0.678942594,-0.678942594,-0.678942594
-0.77081764,-0.761577726,-0.761577726,-0.761577726
-1.226648182,-1.101792608,-1.101792608,-1.101792608
-1.100688214,-1.007870727,-1.007870727,-1.007870727
-0.443528214,-0.517300216,-0.517300216,-0.517300216
-0.198835489,-0.334293632,-0.334293632,-0.334293632
0.075798541,-0.129519746,-0.129519746,-0.129519746
0.102126239,-0.109767934,-0.109767934,-0.109767934
0.248735383,-0.000528321,-0.000528321,-0.000528321
0.216729161,-0.024311115,-0.024311115,-0.024311115
-0.052226345,-0.225054019,-0.225054019,-0.225054019
-0.298983988,-0.409672996,-0.409672996,-0.409672996
-0.755846989,-0.750290976,-0.750290976,-0.750290976
-0.861674011,-0.829298224,-0.829298224,-0.829298224
-1.297371607,-1.142908625,-1.142908625,-1.142908625
-1.177090162,-1.052211529,-1.052211529,-1.052211529
-0.548839008,-0.578168044,-0.578168044,-0.578168044
-0.31447087,-0.401611032,-0.401611032,-0.401611032
-0.052226345,-0.203689815,-0.203689815,-0.203689815
-0.026931106,-0.184744199,-0.184744199,-0.184744199
0.112967056,-0.07913247,-0.07913247,-0.07913247
